area_sqft,bedrooms,bathrooms,age_years,location,price
3231,3,,,rural,733605
2222,5,2,43,rural,503340
1212,4,3,19,suburb,374140
2744,1,2,18,downtown,735680
2260,4,3,41,suburb,571700
2404,3,2,43,downtown,653380
2593,3,1,42,downtown,684460
1662,4,3,21,downtown,550140
1462,5,2,14,downtown,519640
1103,1,1,15,suburb,287160
3003,1,2,26,rural,640660
2857,2,2,31,suburb,676040
1499,2,1,48,downtown,419780
2241,2,1,,rural,522527
2402,1,3,15,downtown,676940
2369,2,2,42,rural,492180
2789,4,,48,suburb,641580
3009,5,3,27,rural,712480
2326,2,2,28,suburb,563720
1512,5,2,49,rural,338140
2484,5,1,17,suburb,647980
817,5,2,15,suburb,296240
1875,3,3,5,downtown,606000
1117,2,2,44,downtown,353740
3393,2,1,26,suburb,789460
1855,4,2,26,downtown,573100
1347,3,2,,rural,348149
2858,3,2,0,suburb,737760
1723,3,2,34,rural,377060
2736,4,1,31,downtown,747420
1617,3,2,1,suburb,463240
1876,5,2,46,downtown,562720
2414,2,,34,downtown,630080
2113,4,3,42,downtown,617860
843,5,2,8,suburb,312460
1244,1,2,24,suburb,316680
1366,3,2,21,suburb,378020
1639,3,2,5,suburb,462080
579,5,3,3,suburb,273880
1418,5,1,,rural,377969
664,1,1,12,downtown,275080
3044,2,1,8,suburb,739680
3242,1,3,13,suburb,784740
3365,3,2,10,rural,774300
2987,5,1,49,downtown,790640
1774,1,3,1,suburb,479780
2858,5,2,25,rural,670260
1312,1,3,44,rural,253640
1494,1,,43,rural,259180
995,4,1,22,rural,237900
2254,5,2,4,rural,568880
3152,3,1,26,suburb,751440
932,3,2,,suburb,309788
2637,5,2,39,rural,600640
2480,3,2,46,rural,525600
1599,3,1,5,suburb,441280
2346,2,2,36,rural,496120
3236,3,2,1,suburb,819420
1831,2,2,13,suburb,477320
1558,3,2,38,rural,334760
1631,4,1,33,downtown,501320
850,2,2,31,rural,174500
1484,5,2,41,rural,343980
2510,3,1,5,suburb,641700
1407,3,,19,rural,306040
2882,3,2,,rural,667572
1908,3,3,21,suburb,509260
3378,3,2,19,suburb,823660
1444,1,1,20,downtown,434680
2694,5,1,12,downtown,781680
2483,3,3,48,rural,535260
2944,3,1,12,suburb,726680
1431,3,1,19,downtown,463320
3400,4,1,17,downtown,914500
723,4,2,44,downtown,297060
3112,3,1,0,rural,721640
1664,3,2,28,suburb,433080
1255,1,2,30,downtown,390100
767,3,2,,rural,214318
1111,4,2,5,downtown,440920
3003,1,2,26,rural,640660
