passenger_id,pclass,sex,age,sibsp,fare,embarked,survived
1,3,male,3.7,0,19.98,S,0
2,3,male,42.2,0,8.58,S,0
3,3,male,40.2,2,41.44,Q,0
4,2,female,57.0,0,47.22,S,1
5,2,female,12.6,0,12.42,C,1
6,2,female,56.9,2,31.35,S,0
7,2,male,39.5,2,39.78,S,0
8,3,male,5.1,0,47.97,S,0
9,1,female,20.9,2,126.28,S,1
10,1,female,,2,99.67,Q,1
11,3,male,13.1,1,21.31,Q,0
12,2,male,17.6,0,49.67,C,0
13,1,female,16.5,1,63.58,C,1
14,1,male,52.7,1,44.57,Q,0
15,3,female,26.6,0,34.0,S,0
16,1,male,44.7,2,67.37,S,0
17,3,female,38.0,1,52.62,S,0
18,1,female,54.3,0,22.95,C,1
19,1,female,68.1,0,79.6,S,0
20,2,male,,0,35.59,,0
21,3,female,35.2,0,56.24,S,1
22,1,male,7.8,1,123.69,Q,0
23,1,female,66.4,0,44.9,Q,1
24,1,male,50.5,1,149.31,S,0
25,3,female,10.2,0,10.39,S,0
26,1,male,2.5,2,97.25,S,1
27,1,female,6.8,0,46.82,C,1
28,1,female,18.5,1,122.47,S,1
29,3,female,26.1,1,31.75,S,0
30,3,male,,2,24.98,S,0
31,1,female,11.5,0,46.83,S,0
32,1,female,56.9,1,21.0,Q,0
33,1,male,13.3,1,75.83,C,0
34,1,female,2.1,1,44.92,C,1
35,3,female,12.5,0,18.54,S,0
36,3,male,52.9,0,9.66,C,0
37,3,male,5.9,1,11.25,S,1
38,1,male,29.5,1,42.21,Q,1
39,1,female,46.7,1,81.76,S,1
40,3,female,,1,13.94,,0
41,1,male,33.2,1,149.44,S,0
42,3,female,11.0,0,53.69,S,1
43,1,female,58.7,2,50.26,Q,1
44,3,female,65.4,0,56.76,S,1
45,1,male,20.5,1,37.12,S,1
46,3,female,36.4,0,54.98,S,1
47,2,female,5.0,0,47.87,S,1
48,2,female,40.1,0,10.99,S,1
49,2,male,31.2,0,23.34,S,0
50,1,male,,0,118.56,C,0
51,3,male,65.0,0,52.82,S,0
52,1,male,52.1,0,118.88,C,0
53,3,male,20.1,2,12.73,S,0
54,1,male,57.5,1,57.0,S,1
55,3,male,29.1,0,52.81,S,0
56,3,female,48.2,1,24.55,S,1
57,2,male,41.5,0,9.03,Q,0
58,3,female,31.7,1,13.13,Q,1
59,1,female,2.1,1,105.22,S,1
60,1,female,,2,128.27,,1
6,2,female,56.9,2,31.35,S,0
